uuid,abstract,n_tokens_abstract,tokens_abstract,language
45c82f0f888d46efb97087e7880b781e,Aaron Boone said tonight that Gerrit Cole tested positive for COVID and is not pitching tomorrow.,11,"['aaron', 'boone', 'said', 'tonight', 'gerrit', 'cole', 'tested', 'positive', 'covid', 'pitching', 'tomorrow']",en
365522896e3a4ccc90708a53596cebc5,"Two airline passengers entering Canada from the U.S. have been fined nearly $16,000 each for submitting fake vaccination cards and Covid-19 test results, officials say.2 travelers who used fake vaccine cards to enter Canada from U.S. fined nearly $16,000The airline passengers also submitted fraudulent test results, Canadian officials said.nbcnews.com",39,"['two', 'airline', 'passengers', 'entering', 'canada', 'u', 'fined', 'nearly', 'submitting', 'fake', 'vaccination', 'cards', 'covid', 'test', 'results', 'officials', 'say', 'travelers', 'used', 'fake', 'vaccine', 'cards', 'enter', 'canada', 'u', 'fined', 'nearly', 'airline', 'passengers', 'also', 'submitted', 'fraudulent', 'test', 'results', 'canadian', 'officials', 'said', 'nbcnews', 'com']",en
eba2e080d1f74bbea6058511f0e77df8,"Cole has tested positive for Covid, Boone said.",6,"['cole', 'tested', 'positive', 'covid', 'boone', 'said']",en
979274be310c4f5e9d8ce6130feba39d,"As Florida's COVID crisis intensifies, Gov. DeSantis' response faltersAs case numbers and hospitalizations in Florida reach new heights, Ron DeSantis' plan largely consists of wishing Floridians luck.As Florida's COVID crisis intensifies, DeSantis' response faltersAs case numbers and hospitalizations in Florida reach new heights, Ron DeSantis' plan largely consists of wishing Floridians luck.msnbc.com",47,"['florida', 'covid', 'crisis', 'intensifies', 'gov', 'desantis', 'response', 'faltersas', 'case', 'numbers', 'hospitalizations', 'florida', 'reach', 'new', 'heights', 'ron', 'desantis', 'plan', 'largely', 'consists', 'wishing', 'floridians', 'luck', 'florida', 'covid', 'crisis', 'intensifies', 'desantis', 'response', 'faltersas', 'case', 'numbers', 'hospitalizations', 'florida', 'reach', 'new', 'heights', 'ron', 'desantis', 'plan', 'largely', 'consists', 'wishing', 'floridians', 'luck', 'msnbc', 'com']",en
5988e9eae5054dcf91a8ca8a2f0091ef,"Top RNC official in Florida spreads Covid-19 conspiracies, calling vaccines the 'mark of the beast'Top RNC official in Florida spreads Covid-19 conspiracies, calling vaccines the 'mark of the beast'Amid recent surging coronavirus cases in Florida, a top Republican National Committee official in the state has spread anti-vaccine rhetoric and misinformation, comparing the Biden administration's...cnn.com",44,"['top', 'rnc', 'official', 'florida', 'spreads', 'covid', 'conspiracies', 'calling', 'vaccines', 'mark', 'beast', 'top', 'rnc', 'official', 'florida', 'spreads', 'covid', 'conspiracies', 'calling', 'vaccines', 'mark', 'beast', 'amid', 'recent', 'surging', 'coronavirus', 'cases', 'florida', 'top', 'republican', 'national', 'committee', 'official', 'state', 'spread', 'anti', 'vaccine', 'rhetoric', 'misinformation', 'comparing', 'biden', 'administration', 'cnn', 'com']",en
8e97623f22ba4aab8faf9b47c9ff262b,"The judiciary is easily granting bail to convicted politicians and actors, but on the other hand is denying bail to Sant Shri Asharamji Bapu, who is battling post-Covid complications and other health problems.Why this inequality??#नेता_को_बेल_संत_को_जेल",24,"['judiciary', 'easily', 'granting', 'bail', 'convicted', 'politicians', 'actors', 'hand', 'denying', 'bail', 'sant', 'shri', 'asharamji', 'bapu', 'battling', 'post', 'covid', 'complications', 'health', 'problems', 'inequality', 'न', 'त', 'ल']",en
7cd381969b134819831707f742a1874a,"For now, the pace of global vaccination is the most powerful determinant of our near-term future with COVID. “The single best thing we can do is to vaccinate the world as fast as possible,” a virologist said.Coexisting with the CoronavirusCOVID-19 is likely to become an endemic disease. How will our immune systems resist it?newyorker.com",29,"['pace', 'global', 'vaccination', 'powerful', 'determinant', 'near', 'term', 'future', 'covid', 'single', 'best', 'thing', 'vaccinate', 'world', 'fast', 'possible', 'virologist', 'said', 'coexisting', 'coronaviruscovid', 'likely', 'become', 'endemic', 'disease', 'immune', 'systems', 'resist', 'newyorker', 'com']",en
db607f30378d4255a2833f80e3268a28,"#नेता_को_बेल_संत_को_जेलThe judiciary is easily granting bail to convicted politicians and actors, but on the other hand is denying bail to Sant Shri Asharamji Bapu, who is battling post-Covid complications and other health problems.Why this inequality??#नेता_को_बेल_संत_को_जेल",27,"['न', 'त', 'लthe', 'judiciary', 'easily', 'granting', 'bail', 'convicted', 'politicians', 'actors', 'hand', 'denying', 'bail', 'sant', 'shri', 'asharamji', 'bapu', 'battling', 'post', 'covid', 'complications', 'health', 'problems', 'inequality', 'न', 'त', 'ल']",en
f859b09a62604641b622eeee855d03e4,"Unconstitutional punishment laid to Sant Shri Asharamji Bapu. Appealed in the High Court long time has passed no judgement only date's. Affected by Covid, post Covid with 11other diseases, applied for Bail or Parole for Ayurvedic treatment rejected #नेता_को_बेल_संत_को_जेल",29,"['unconstitutional', 'punishment', 'laid', 'sant', 'shri', 'asharamji', 'bapu', 'appealed', 'high', 'court', 'long', 'time', 'passed', 'judgement', 'date', 'affected', 'covid', 'post', 'covid', 'diseases', 'applied', 'bail', 'parole', 'ayurvedic', 'treatment', 'rejected', 'न', 'त', 'ल']",en
9c9f2012425c413680249415ffb9ed38,1/2 Because we rarely get perspective from anyone anymore. Here are the current facts about COVID…politics aside. CDC Numbers99.99% fully vaccinated haven’t been hospitalized or died. Overall Covid-19 vaccines are very effective at preventing serious illness and death,23,"['rarely', 'get', 'perspective', 'anyone', 'anymore', 'current', 'facts', 'covid', 'politics', 'aside', 'cdc', 'fully', 'vaccinated', 'hospitalized', 'died', 'overall', 'covid', 'vaccines', 'effective', 'preventing', 'serious', 'illness', 'death']",en
0db45b1791504bc99ec48d966c60a4c0,"Yanks Lose: Gio to the IL, Cole Got Covid! Instant Reaction...WATCH HERE:https://youtu.be/qmogtazc_ag",12,"['yanks', 'lose', 'gio', 'il', 'cole', 'got', 'covid', 'instant', 'reaction', 'watch', 'https', 'youtu']",en
cdb6c5900b8a471ca508f59ebeba72b8,Shelley had no issues during the COVID toilet paper shortage.#SoFreakinCheap,7,"['shelley', 'issues', 'covid', 'toilet', 'paper', 'shortage', 'sofreakincheap']",en
cf86a682705c4b04bf5c8783bd29126c,NSW Covid update: 199 new cases as Berejiklian targets 6m vaccinations by end of August – videoNSW Covid update: 199 new cases as Berejiklian targets 6m vaccinations by end of August – video NSW chief health officer Kerry Chant says it is ‘tragic’ that so many older people are still completely unvaccinatedtheguardian.com,36,"['nsw', 'covid', 'update', 'new', 'cases', 'berejiklian', 'targets', 'vaccinations', 'end', 'august', 'videonsw', 'covid', 'update', 'new', 'cases', 'berejiklian', 'targets', 'vaccinations', 'end', 'august', 'video', 'nsw', 'chief', 'health', 'officer', 'kerry', 'chant', 'says', 'tragic', 'many', 'older', 'people', 'still', 'completely', 'unvaccinatedtheguardian', 'com']",en
0e7d5de1370e490aacad639dea9c9168,"31 yo unvaccinated man hospitalized from Covid with a wife & 6 year old son says: ""I was strongly against getting the vaccine...because we're a strong conservative family."" Don't conservative values include a moral obligation to take care of your family?As COVID cases skyrocket, Missouri health workers battle misinformation among the unvaccinatedHospitalizations in the state have jumped 168% in the last two months, and behind those numbers is both a resistance to the COVID vaccine and a lot of people with regrets.cbsnews.com",49,"['yo', 'unvaccinated', 'man', 'hospitalized', 'covid', 'wife', 'year', 'old', 'son', 'says', 'strongly', 'getting', 'vaccine', 'strong', 'conservative', 'family', 'conservative', 'values', 'include', 'moral', 'obligation', 'take', 'care', 'family', 'covid', 'cases', 'skyrocket', 'missouri', 'health', 'workers', 'battle', 'misinformation', 'among', 'unvaccinatedhospitalizations', 'state', 'jumped', 'last', 'two', 'months', 'behind', 'numbers', 'resistance', 'covid', 'vaccine', 'lot', 'people', 'regrets', 'cbsnews', 'com']",en
2f33022c2e98444182b2e14fcf3458f4,"Gerrit Cole tests positive for COVID-19.Gerrit Cole NewsGerrit Cole player stats, injury updates, game log, and recent news for daily fantasy sports.fantasylabs.com",22,"['gerrit', 'cole', 'tests', 'positive', 'covid', 'gerrit', 'cole', 'newsgerrit', 'cole', 'player', 'stats', 'injury', 'updates', 'game', 'log', 'recent', 'news', 'daily', 'fantasy', 'sports', 'fantasylabs', 'com']",en
8e19b075bc1e4bdc85609f44beaf45d0,"Replying to @erinbibai have been really frustrated with the ""COVID barely affects young people (so we can send them back to school/they don't need to be vaccinated)"" line throughout the pandemic has been really frustrating bc I've been having regular shortness of breath for the past 9 months. i'm 18",25,"['replying', 'erinbibai', 'really', 'frustrated', 'covid', 'barely', 'affects', 'young', 'people', 'send', 'back', 'school', 'need', 'vaccinated', 'line', 'throughout', 'pandemic', 'really', 'frustrating', 'bc', 'regular', 'shortness', 'breath', 'past', 'months']",en
e5f201d4c2e1442994e2c099c4645af6,"#Odisha records 69 fresh #COVID19 fatalities, death toll rises to 6102, reveals State Covid Dashboard",11,"['odisha', 'records', 'fresh', 'fatalities', 'death', 'toll', 'rises', 'reveals', 'state', 'covid', 'dashboard']",en
d30d64d50d3843f9a977e8cbabd50e22,"Watching the PM in a press conference about “the plan” out of COVID… so over the propaganda being spilled from his mouth, exhausting to watch #auspol #COVID19",12,"['watching', 'pm', 'press', 'conference', 'plan', 'covid', 'propaganda', 'spilled', 'mouth', 'exhausting', 'watch', 'auspol']",en
0ec52070f4fa48c5853711ef9e0219ca,"RT @Joco_the_Myth “It’s false. We test every person who comes into the hospital, if they test positive they are called covid patients even if the test is flawed or they were not even admitted for covid symptoms but for a plethora of other reasons.”",21,"['rt', 'false', 'test', 'every', 'person', 'comes', 'hospital', 'test', 'positive', 'called', 'covid', 'patients', 'even', 'test', 'flawed', 'even', 'admitted', 'covid', 'symptoms', 'plethora', 'reasons']",en
1aba2d17f9a6401a935bc82e19f3f733,"[ARTICLE] 210803 ©soompiYG Entertainment Shares #TREASURE's #Doyoung And #SoJungHwan Have Fully Recovered From COVID-19: https://soompi.com/article/1481999wpp/yg-entertainment-shares-treasures-doyoung-and-so-jung-hwan-have-fully-recovered-from-covid-19… #트레저 #トレジャー @treasuremembersYG Entertainment Shares TREASURE’s Doyoung And So Jung Hwan Have Fully Recovered From COVID-19TREASURE’s Doyoung and So Jung Hwan have completely recovered from COVID-19. Doyoung tested positive for the virus on July 13, and fellow member So Jung Hwan also tested positive on July 16 after...soompi.com",57,"['article', 'soompiyg', 'entertainment', 'shares', 'treasure', 'doyoung', 'sojunghwan', 'fully', 'recovered', 'covid', 'https', 'soompi', 'com', 'article', 'yg', 'entertainment', 'shares', 'treasures', 'doyoung', 'jung', 'hwan', 'fully', 'recovered', 'covid', '트레저', 'トレジャー', 'treasuremembersyg', 'entertainment', 'shares', 'treasure', 'doyoung', 'jung', 'hwan', 'fully', 'recovered', 'covid', 'doyoung', 'jung', 'hwan', 'completely', 'recovered', 'covid', 'doyoung', 'tested', 'positive', 'virus', 'july', 'fellow', 'member', 'jung', 'hwan', 'also', 'tested', 'positive', 'july', 'soompi', 'com']",en
3fc84ce7c68f4c68bc86a048500cf3bd,"""We have to pay attention to it in a very different way and set up a long-term strategy that will allow us to adapt to the new COVID world,” said Dr. Brian Conway, medical director of Vancouver Infectious Diseases Centre.COVID-19: What does ‘endemic’ mean and are we there yet? | Globalnews.caDr. Brian Conway, medical director of Vancouver Infectious Diseases Centre, said an endemic infection is one that still needs to be dealt with on an ongoing basis.globalnews.ca",49,"['pay', 'attention', 'different', 'way', 'set', 'long', 'term', 'strategy', 'allow', 'us', 'adapt', 'new', 'covid', 'world', 'said', 'dr', 'brian', 'conway', 'medical', 'director', 'vancouver', 'infectious', 'diseases', 'centre', 'covid', 'endemic', 'mean', 'yet', 'globalnews', 'cadr', 'brian', 'conway', 'medical', 'director', 'vancouver', 'infectious', 'diseases', 'centre', 'said', 'endemic', 'infection', 'one', 'still', 'needs', 'dealt', 'ongoing', 'basis', 'globalnews', 'ca']",en
9fb146447d254de5a4b0ce44ffcb16b7,"Replying to @GeorgeMonks11My husband is a doc here in OKC, and we had an acquaintance life-flighted to Denver because there were no ICU beds anywhere.  Folks don’t understand that it’s not just COVID that this affects…",15,"['replying', 'husband', 'doc', 'okc', 'acquaintance', 'life', 'flighted', 'denver', 'icu', 'beds', 'anywhere', 'folks', 'understand', 'covid', 'affects']",en
3e578e603abc4b9782e47a03bc580fb4,#ICYMI Ontario universities that require all students to get COVID-19 vaccines are staring down the barrel of a legal confrontation. #cdnpoli #onpoliOntario universities face legal fight over vaccination mandatesThe Constitutional Rights Centre announced on July 26 that it had sent legal notices to Western University and Seneca College. The documents threaten lawsuits unless the universities scrap their...tnc.news,40,"['icymi', 'ontario', 'universities', 'require', 'students', 'get', 'covid', 'vaccines', 'staring', 'barrel', 'legal', 'confrontation', 'cdnpoli', 'onpoliontario', 'universities', 'face', 'legal', 'fight', 'vaccination', 'mandatesthe', 'constitutional', 'rights', 'centre', 'announced', 'july', 'sent', 'legal', 'notices', 'western', 'university', 'seneca', 'college', 'documents', 'threaten', 'lawsuits', 'unless', 'universities', 'scrap', 'tnc', 'news']",en
94ca3ad739e044d398d27732aed7c782,Pretty sure my entire family got covid,6,"['pretty', 'sure', 'entire', 'family', 'got', 'covid']",en
d44785df48ee4f2ea0ee316a448134b9,"""No one can divide us in RELIGION""As the 3rd wave of Covid-19 intensified, Christian youths in #Bhamo Tsp, Kachin State were spraying pesticides free of charge.#OurGovernmentNUG#WhatsHappeningInMyanmar#Aug3Coup",19,"['one', 'divide', 'us', 'religion', 'wave', 'covid', 'intensified', 'christian', 'youths', 'bhamo', 'tsp', 'kachin', 'state', 'spraying', 'pesticides', 'free', 'charge', 'ourgovernmentnug', 'whatshappeninginmyanmar']",en
93cffc3c050a447dab3ddfc86f19f1d3,Ableds don't give a shit about people with chronic illness. They don't spend one second of their lives thinking about what living with chronic illness and disability is like. And so they'll say mild covid is no big deal and not even think twice about the implications of that lie.,26,"['ableds', 'give', 'shit', 'people', 'chronic', 'illness', 'spend', 'one', 'second', 'lives', 'thinking', 'living', 'chronic', 'illness', 'disability', 'like', 'say', 'mild', 'covid', 'big', 'deal', 'even', 'think', 'twice', 'implications', 'lie']",en
051adf651cc24224bd30b3112b6412f0,"As the third wave of Covid-19 intensifies, Christian youths in #Bhamo are distributing pesticides free of charge, according to local youths.#WhatsHappeningInMyanmar #Aug3Coup #OurGovernmentNUG",16,"['third', 'wave', 'covid', 'intensifies', 'christian', 'youths', 'bhamo', 'distributing', 'pesticides', 'free', 'charge', 'according', 'local', 'youths', 'whatshappeninginmyanmar', 'ourgovernmentnug']",en
2afccca99a9c4451a4f348a102401aec,"South Florida Medical Officers Say Delta Variant, Unvaccinated Driving COVID-19 NumbersSouth Florida Medical Officers Say Delta Variant, Unvaccinated Driving COVID-19 NumbersHospital medical directors say the surge happened quickly. COVID-19 has returned, infecting mostly the unvaccinated. One hospital in South Florida reports a 50% increase in COVID cases from last...nbcmiami.com",43,"['south', 'florida', 'medical', 'officers', 'say', 'delta', 'variant', 'unvaccinated', 'driving', 'covid', 'numberssouth', 'florida', 'medical', 'officers', 'say', 'delta', 'variant', 'unvaccinated', 'driving', 'covid', 'numbershospital', 'medical', 'directors', 'say', 'surge', 'happened', 'quickly', 'covid', 'returned', 'infecting', 'mostly', 'unvaccinated', 'one', 'hospital', 'south', 'florida', 'reports', 'increase', 'covid', 'cases', 'last', 'nbcmiami', 'com']",en
98e6c1f561444abf8d40b73a70cace03,#COVID19 in #Mumbai: #Maharashtra #Congress demands resuming #localtrain service for those inoculated #mumbailocal @BhaiJagtap1COVID-19 in Mumbai: Maharashtra Congress demands resuming local train service for those inoculatedfreepressjournal.in,18,"['mumbai', 'maharashtra', 'congress', 'demands', 'resuming', 'localtrain', 'service', 'inoculated', 'mumbailocal', 'mumbai', 'maharashtra', 'congress', 'demands', 'resuming', 'local', 'train', 'service', 'inoculatedfreepressjournal']",en
